"GMINA","ID_KLIENTA","IMIE","NAZWISKO","NR_BUDYNKU","NUMER_TELEFONU","PESEL","ULICA","WOJEWÓDZTWO"
"New Bertiefort","0","Dinah","Goodwin","458","229841464","23772418879","Rosenbaum Field","śląskie"
"Raubury","1","Elmo","Kuphal","205","739800933","45885940521","Virgie Tunnel","opolskie"
"East Jessi","2","Dewayne","Nitzsche","839","658488635","52451921383","Palmer Cape","kujawsko-pomorskie"
"New Robertstad","3","Magali","McKenzie","171","521356594","97792522921","Tromp Meadows","śląskie"
"Jacobiland","4","Aura","Corkery","377","615178926","72807148197","Lynwood Lodge","zachodniopomorskie"
"Jeanellestad","5","Monty","Sawayn","606","510080059","75821265210","Rice Forest","małopolskie"
"Port Aubrey","6","Sebastian","Sanford","323","951242718","62365016700","Karole Mount","pomorskie"
"West Ed","7","Chas","Carter","308","279676769","26768619179","Joselyn Prairie","świętrokrzyskie"
"Lindgrenmouth","8","Patrick","Cole","409","993464723","49029225875","Bennie Ranch","kujawsko-pomorskie"
"Conntown","9","Agripina","Abbott","544","471196424","39636136670","Daniel Shore","małopolskie"
"North Maxborough","10","Chung","Kuhlman","874","719333980","86713406891","Dewitt Road","świętrokrzyskie"
"Jarretthaven","11","Zachariah","Stark","796","590582938","64272209373","Hansen Cliff","warmińsko-mazurskie"
"New Marylynfort","12","Buster","Bednar","579","283771139","08588541945","Osinski Parkways","małopolskie"
"Johnathonbury","13","Vincenzo","Jerde","816","373649993","18105596662","Lesch Drive","lubuskie"
"New Ethel","14","Lan","Goodwin","799","785363141","98755199671","Hickle Squares","łódzkie"
